term,score
ireland,13.28374497
country,10.90814827
irish,10.57648244
time,9.305010014
parliament,7.999574654
question,7.709331296
parnell,7.569765407
franchise,7.075133599
people,6.915538543
future,6.659775519
rights,6.613363186
city,6.528988471
right,6.506624725
england,6.394564159
liverpool,6.358434259
go,6.153778654
attempted,5.937851822
circumstances,5.781142008
make,5.473341824
man,5.433742551
english,5.364145029
far,5.145103431
government,5.111672815
opposition,5.001066327
every,4.783478509
voice,4.776508483
times,4.541956239
land,4.461438982
party,4.404492205
new,4.351360564
day,4.311799241
things,4.24746765
obtain,4.18214925
act,4.153452392
stand,4.03315446
constitution,3.952960092
meeting,3.64413293
within,3.604106771
position,3.424659785
measure,3.422246045
return,3.405180517
settlement,3.40469858
two,3.293002918
without,3.205211629
irish people,3.18801403
evening,3.155661454
lord,3.029297141
forward,2.961891702
everything,2.96132179
consideration,2.959082348
back,2.954876053
farmers,2.951336519
take,2.904653536
wanted,2.855233379
years,2.852314277
rent,2.792904589
necessary,2.755848632
leave,2.606527024
asked,2.563887021
cannot,2.504354351
gentlemen,2.491884757
impossible,2.487841611
even,2.400242143
anything,2.388822112
landlords,2.27241039
night,2.154181397
division,2.141900651
public,2.125185459
number,2.014861647
purchase,1.999063315
perhaps,1.988697903
tenant,1.98346246
fact,1.965428647
scarcely,1.949941254
get,1.939026586
pay,1.87165996
vote,1.823594976
addressed,1.775466084
large,1.70707565
home,1.678041012
result,1.673428083
thing,1.671899504
land question,1.668749701
another,1.65952884
nothing,1.608378149
power,1.571347598
always,1.520326385
taken,1.486379056
speech,1.469238987
possible,1.453781278
several,1.444856739
whole,1.43836168
first,1.411435732
long,1.369591005
although,1.339709127
minister,1.313383378
men,1.297039998
case,1.29662271
proceedings,1.295435797
work,1.274371004
general,1.272077519
place,1.265124359
irishman,1.193952241
given,1.113428152
order,1.102479718
duty,1.09203169
gave,1.071877096
system,1.071730059
want,1.015230749
county,1.015117259
opinion,1.012498799
reference,1
ulster,1
matter,1
appeared,0.985012132
rents,0.944829947
five,0.939471126
left,0.935211028
prevent,0.923165468
therefore,0.841967387
state,0.839586345
year,0.806927176
affairs,0.785443939
purpose,0.781937523
subject,0.780745398
rule,0.733986184
west,0.707106781
ought,0.696434484
control,0.661527586
law,0.650737835
hands,0.650362297
late,0.63195534
took,0.622665446
home rule,0.602563325
tenants,0.588393973
got,0.583283436
twenty,0.577909506
chief,0.556080042
irish landlords,0.537081153
second,0.531345788
words,0.491391759
notice,0.439973405
prime minister,0.406822853
prime,0.403390278
resolution,0.378835091
business,0.360711352
imperial,0.360711352
body,0.331027818
character,0.31360054
dublin,0.246407339
